Deba;Blanco;43.28588;GIPUZKOA;Obras;Euskadi;2007-12-18 23:03:39;57;CANTABRIA;Obras;SS;A-8;57;-2.355285;34
Donostia-San Sebastián;Blanco;43.29825;GIPUZKOA;Obras;Euskadi;2007-12-18 21:17:38;22;CANTABRIA;Obras;SS;A-8;22;-1.97683;40
Pasaia;Blanco;43.308;GIPUZKOA;Obras;Euskadi;2007-12-18 21:15:21;14;IRUN;Obras;SS;A-8;14;-1.90561;133
Donostia-San Sebastián;Blanco;43.29825;GIPUZKOA;Obras;Euskadi;2007-12-18 21:17:38;22;CANTABRIA;Obras;SS;A-8;22;-1.97683;40
Pasaia;Blanco;43.308;GIPUZKOA;Obras;Euskadi;2007-12-18 21:15:21;14;IRUN;Obras;SS;A-8;14;-1.90561;133
Mendaro;Blanco;43.27048;GIPUZKOA;Obras;Euskadi;2007-12-18 19:23:06;59;IRUN;Obras;SS;A-8;59;-2.36969;70
;Blanco;43.28297;GIPUZKOA;Obras;Euskadi;2007-12-18 10:02:20;43;IRUN;Obras;SS;A-8;43;-2.2153;24
;Blanco;43.27025;GIPUZKOA;Obras;Euskadi;2007-12-18 10:00:26;48;IRUN;Obras;SS;A-8;48;-2.26745;93
;Blanco;43.27811;GIPUZKOA;Obras;Euskadi;2007-12-17 23:11:04;58;IRUN;Obras;SS;A-8;58;-2.36314;91
;Blanco;43.27811;GIPUZKOA;Obras;Euskadi;2007-12-17 23:11:04;58;IRUN;Obras;SS;A-8;58;-2.36314;91
Donostia-San Sebastián;Amarillo;43.29825;GIPUZKOA;Obras;Euskadi;2007-12-17 21:18:50;22;CANTABRIA;Obras;SS;A-8;22;-1.97683;40
Pasaia;Blanco;43.308;GIPUZKOA;Obras;Euskadi;2007-12-17 20:34:03;14;IRUN;Obras;SS;A-8;14;-1.90561;133
;Amarillo;43.28588;GIPUZKOA;Obras;Euskadi;2007-12-17 19:44:40;57;CANTABRIA;Obras;SS;A-8;57;-2.355285;34
