21;0;0;0;21;4;0;16;0;0
24;2;9;0;13;22;0;24;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
16;0;2;0;14;6;0;4;0;1
82;0;39;0;43;10;4;48;15;9
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
26;0;2;0;24;4;4;9;5;3
1;0;0;0;1;0;1;0;0;1
0;0;0;0;0;0;0;0;0;0
8;0;4;0;4;1;6;3;0;5
4;0;1;0;3;2;1;4;0;0
6;0;1;0;5;0;2;3;2;1
20;0;5;0;15;18;0;18;0;2
0;0;0;0;0;0;0;0;0;0
29;0;5;0;24;2;5;12;1;0
27;1;2;0;24;5;8;1;1;25
6;0;1;0;5;3;0;0;4;2
2;0;0;0;2;1;0;1;0;1
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
83;0;17;0;66;25;7;11;1;65
74;4;17;0;53;20;20;67;5;2
40;0;3;0;37;7;17;6;0;33
5;0;4;1;0;1;0;5;0;0
32;0;1;0;30;8;10;24;4;2
1;0;1;0;0;0;1;1;0;0
4;0;1;0;3;2;0;0;2;0
4;0;0;0;4;0;0;2;1;0
3;0;0;0;3;1;2;3;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
47;0;8;0;39;5;10;26;3;3
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
251;0;39;0;212;55;72;145;15;7
1;0;0;0;1;0;0;1;0;0
61;0;16;0;44;4;29;10;9;22
72;0;7;0;65;15;3;3;0;63
16;0;0;0;16;0;0;0;0;16
67;0;2;1;64;19;19;20;1;46
63;0;17;0;46;10;9;56;4;1
0;0;0;0;0;0;0;0;0;0
3;0;1;0;2;0;0;1;0;0
0;0;0;0;0;0;0;0;0;0
1;0;0;0;1;1;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
1;0;1;0;0;0;0;1;0;0
3;0;0;0;3;3;0;0;0;3
1;0;0;0;1;1;0;0;0;1
51;1;10;0;40;22;15;22;18;6
8;0;4;0;4;0;1;1;6;1
0;0;0;0;0;0;0;0;0;0
49;0;6;0;43;14;24;19;11;9
69;2;20;0;47;5;27;36;4;17
95;3;11;0;81;32;35;36;33;17
4;0;0;0;4;4;0;0;0;4
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
2;0;0;0;2;1;1;0;2;0
91;1;13;0;77;23;36;58;2;5
6;0;1;0;5;0;6;4;0;0
0;0;0;0;0;0;0;0;0;0
65;0;6;0;59;8;15;44;1;7
21;0;3;0;18;17;2;15;0;6
0;0;0;0;0;0;0;0;0;0
1;0;0;0;1;0;1;0;0;1
6;0;1;1;4;3;2;2;0;4
95;1;8;0;86;74;3;5;1;83
0;0;0;0;0;0;0;0;0;0
3;0;0;2;1;0;0;3;0;0
79;1;20;0;58;4;57;57;2;0
0;0;0;0;0;0;0;0;0;0
1;0;0;0;1;0;1;0;0;1
0;0;0;0;0;0;0;0;0;0
14;0;2;0;12;3;3;14;0;0
56;0;8;0;48;7;10;35;1;3
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
29;0;4;0;25;0;12;26;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
33;0;1;0;32;6;14;22;0;2
3;0;0;0;3;0;0;0;0;3
38;0;0;0;38;2;4;31;3;0
21;0;1;0;20;4;0;12;1;0
32;0;9;0;23;8;2;8;8;3
2;0;0;0;2;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0
1;0;0;0;1;0;1;1;0;0
0;0;0;0;0;0;0;0;0;0
30;0;5;0;25;2;21;7;0;21
0;0;0;0;0;0;0;0;0;0
1;0;0;0;1;0;0;0;0;1
28;0;0;0;28;0;4;18;6;0
42;0;9;0;33;33;2;36;0;6
3;0;0;0;3;0;0;0;0;3
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
28;0;1;0;27;4;3;13;0;1
30;0;9;0;21;19;3;22;2;6
1;0;0;0;1;0;0;0;1;0
1;0;0;0;1;0;0;0;0;1
1;0;1;0;0;0;1;0;1;0
0;0;0;0;0;0;0;0;0;0
19;5;2;0;12;10;0;0;5;14
92;1;12;5;74;22;39;55;6;4
38;0;2;0;36;22;9;4;20;12
31;0;2;0;29;2;0;13;0;0
54;0;11;0;43;0;6;17;11;1
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
7;0;0;0;7;0;1;3;0;4
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
3;0;1;1;1;0;2;1;2;0
